country,name,address,source_address,website_as_listed,type,address_note
Poland,HI CLAY,Poland,Poland,https://hiclay.pl,Dealer,Source provides country only; full address remains unverified.
Poland,Kamionka/At Ceramika,"Warszawa, Poland","Warszawa, Poland",https://www.at-ceramika.pl,Dealer,
Portugal,MUDA CERAMICA,"Linda-a-Velha, 2795-152, Portugal","Linda-a-Velha, 2795-152, Portugal",http://www.mudaceramica.com/,Dealer,
Romania,DAVA Art & Fun,Romania,Romania,https://davaart.ro,Dealer,Source provides country only; full address remains unverified.
Slovenia,Keraterm Franc Konjedič s.P.,"Kranj, 4000, Slovenia","Kranj, 4000, Slovenia",https://www.keraterm.si/e-trgovina,Dealer,
Spain,Artesania Chopo S.L.,"Madrid, 28012, Spain","Madrid, 28012, Spain",https://www.artesaniachopo.com,Dealer,
Spain,"Bendix, SA","Palma de Mallorca, 07009, Spain","Palma de Mallorca, 07009, Spain",http://bendix.net/,Dealer,
Spain,"Ceramica Collet, S.A.","Esparreguera, 08292, Spain","Esparreguera, 8292, Spain",https://www.sio-2.com/es/content/26-tienda-online,Distributor,Restored leading zero in postcode.
Spain,"Esmaltes y colorantes de la Rambla, S.L.","La Rambla, 14540, Spain","La Rambla, 14540 , Spain",http://www.esmaltycolor.com/,Dealer,Normalized spelling/formatting.
Spain,Nacho suministros ceramicos S.L.,"Valencia, 46006, Spain","Valencia, 46006, Spain",http://www.nacho-sum.es/,Dealer,
Spain,Pappel Espanola S.L.,"Madrid, 28947, Spain","Madrid, 28947, Spain",https://pappel.com,Distributor,
Spain,Suministros Marphil S.L.,"Madrid, 28022, Spain","Madrid, 28022, Spain",https://www.marphil.com/,Dealer,
Sweden,Keramikcenter-Art4Fun,"Rydebäck, 257 30, Sweden","Rydeback, 257 30, Sweden",https://art4fun.se,Distributor,Normalized spelling/formatting.
Switzerland,Argile et Création,"Vulliens, 1085, Switzerland","Vulliens, 1085, Switzerland",https://argilecreation.ch/,Dealer,
Switzerland,Lehmhuus AG,"Aesch, 4147, Switzerland","Aesch, 4147, Switzerland",http://www.lehmhuus.ch/,Dealer,
Switzerland,Michel Keramikbedarf,"Zürich, 8046, Switzerland","Zürich, 8046, Switzerland",https://keramikbedarf.ch/,Dealer,
United Kingdom,Bath Potters Supplies Ltd,"Radstock, United Kingdom","Radstock, United Kingdom",https://www.bathpotters.co.uk/,Dealer,
United Kingdom,Bluematchbox Potters Supplies,"Reading, United Kingdom","Reading, United Kingdom",,Dealer,
United Kingdom,Corby Kilns,"Kettering, Northamptonshire, NN16 8PU, United Kingdom","Kettering, Northamptonshire, NN16 8PU, United Kingdom",http://www.corbykilns.co.uk/,Dealer,
United Kingdom,Country Love Crafts,"Chilton Industrial Estate, Sudbury, CO10 2XW, United Kingdom","Chilton Industrial Estate, Sudbury, CO10 2XW, United Kingdom",http://www.countrylovecrafts.com,Distributor,
United Kingdom,Cromartie Hobbycraft,"Stoke-On-Trent, Staffordshire, ST3 5AY, United Kingdom","Stoke-On-Trent, Staffordshire, ST3 5AY, United Kingdom",https://www.cromartiehobbycraft.co.uk,Distributor,
United Kingdom,Hobby Ceramicraft Limited,"Grazeley, Berkshire, RG7 1JF, United Kingdom","Grazeley, Berkshire, RG7 1JF, United Kingdom",https://hobbyceramicraft.co.uk,Distributor,
United Kingdom,Hot Clay,"Havyatt Rd, Wrington, Bristol, BS40 5PA, United Kingdom","Havyatt Rd, Wrington, Bristol, BS40 5PA, United Kingdom",https://www.hot-clay.com/,Dealer,
United Kingdom,Kettles Pottery Supplies,"Edinburgh, EH7 6UL, United Kingdom","Edinburgh, EH7 6UL, United Kingdom",https://www.kettlespotterysupplies.com/,Dealer,
United Kingdom,"Potclays, Ltd.","Stoke On Trent, Staffordshire, ST4 7BP, United Kingdom","Stoke On Trent, Staffordshire, ST4 7BP, United Kingdom",https://potclays.co.uk,Distributor,
United Kingdom,Potterycrafts,"Stoke On Trent, Staffordshire, ST1 1AF, United Kingdom","Stoke On Trent, Staffordshire, ST1 1AF, United Kingdom",https://potterycrafts.co.uk,Distributor,
United Kingdom,Ulster Ceramics Plc,"Maghera, BT46 5QE, United Kingdom","Maghera, BT46 5QE, United Kingdom",http://www.ulsterceramicspotterysupplies.co.uk/,Dealer,
