country,region,name,address,source_address,website_as_listed,email_as_listed,phone_as_listed,type,address_note,source_url
United States,Michigan,Pottery Lane GR,"Grand Rapids, Michigan, 49503, United States","Grand Rapids, Michigan, 49503, United States",https://www.potterylanegr.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Ohio,Queen City Clay,"Cincinnati, Ohio, 45209, United States","Cincinnati, Ohio, 45209, United States",https://queencityclay.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Texas,RoadRunner Ceramics,"San Antonio, Texas, 78249, United States","San Antonio, Texas, 78249, United States",https://roadrunnerceramics.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,New York,"Rochester Ceramics, Inc","Webster, New York, 14580, United States","Webster, New York, 14580, United States",http://www.rochesterceramics.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Michigan,Rovin Ceramics,"Ann Arbor, Michigan, 48103, United States","Ann Arbor, Michigan, 48103, United States",https://www.rovinceramics.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Michigan,Runyan Pottery Supply,"Clio, Michigan, 48420, United States","Clio, Michigan, 48420, United States",https://runyanpotterysupply.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Wisconsin,School Specialty,"Appleton, Wisconsin, 54942, United States","Appleton, Wisconsin, 54942, United States",https://schoolspecialty.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Washington,Seattle Pottery LLC.,"Seattle, Washington, 98134, United States","Seattle, Washington, 98134, United States",https://seattlepotterysupply.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Massachusetts,Sheffield Pottery Inc.,"Sheffield, Massachusetts, 01257, United States","Sheffield, Massachusetts, 1257, United States",https://sheffield-pottery.com,,,Distributor,Restored the leading zero the listing drops from the ZIP.,https://www.maycocolors.com/distributors
United States,Alaska,Sheila’s Ceramics,"Anchorage, Alaska, 99503, United States","Anchorage, Alaska, 99503, United States",https://www.facebook.com/Sheilas-Ceramics-Pottery-Supply-155498857821872/,,,Distributor,,https://www.maycocolors.com/distributors
Canada,Quebec,Sial Poterie Ste. Catherine In,"Laval, Quebec, Quebec, H7L 3S1, Canada","Laval, Quebec, Quebec, H7L 3S1, Canada",https://sial-canada.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Wyoming,Silver Sage Ceramics,"Cheyenne, Wyoming, 82001, United States","Cheyenne, Wyoming, 82001, United States",https://www.silversageceramics.com,,,Dealer,,https://www.maycocolors.com/distributors
Canada,Manitoba,Sounding Stone,"Winnipeg, Manitoba, R3T 3Y5, Canada","Winnipeg, Manitoba, R3T 3Y5, Canada",https://soundingstone.com,,,Distributor,,https://www.maycocolors.com/distributors
Canada,Ontario,Spectrum Educational Supplies Limited,"Newmarket, Ontario, L3Y 7B6, Canada","Newmarket, Ontario, L3Y 7B6, Canada",https://spectrumeducational.co.uk,,,Distributor,,https://www.maycocolors.com/distributors
United States,Colorado,Stone Leaf Pottery,"Arvada, Colorado, 80003, United States","Arvada, Colorado, 80003, United States",https://stoneleafpottery.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Utah,Sunstone Pottery and Supply,"Coalville, Utah, 84017, United States","Coalville, Utah, 84017, United States",https://sunstonepotterysupply.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Idaho,The Potter’s Center,"Garden City, Idaho, 83714, United States","Garden City, Idaho, 83714, United States",https://thepotterscenter.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Wisconsin,The Potter’s Shop,"Waukesha, Wisconsin, 53186, United States","Waukesha, Wisconsin, 53186, United States",https://www.pottersshop.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Utah,The Tilted Kiln,"St. George, Utah, 84770, United States","St. George, Utah, 84770, United States",,,,Distributor,,https://www.maycocolors.com/distributors
United States,Vermont,Third Branch Pottery Supply,"Randolph, Vermont, 05060, United States","Randolph, Vermont, 05060, United States",https://www.thirdbranchpotterysupply.com/,,,Distributor,,https://www.maycocolors.com/distributors
United States,Texas,"Trinity Ceramic Supply, Inc.","Dallas, Texas, 75247, United States","Dallas, Texas, 75247, United States",https://trinityceramic.com,,,Distributor,,https://www.maycocolors.com/distributors
Canada,Ontario,Tucker’s Pottery Supplies Inc.,"Richmond Hill, Ontario, L4B 1H6, Canada","Richmond Hill, Ontario, L4B 1H6, Canada",https://www.tuckerspottery.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Vermont,Vermont Ceramics LLC,"Rutland, Vermont, 05701, United States","Rutland, Vermont, 05701, United States",https://www.vermontceramic.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,New York,"Webster’s Works, Wood’s Ceramics","Lake View, New York, 14085, United States","Lake View, New York, 14085, United States",,,,Distributor,,https://www.maycocolors.com/distributors
United States,Tennessee,"Wedged Ceramics Supply, LLC.","Nashville, Tennessee, 37207, United States","Nashville, Tennessee, 37207, United States",https://www.wedgedceramicssupply.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,New York,"West’s Ceramic Supply, Inc.","Highland, New York, 12528, United States","Highland, New York, 12528, United States",https://westsceramicsupply.com,,,Distributor,,https://www.maycocolors.com/distributors
United States,Ohio,"Wheelhouse Studio & Supply, LLC.","Medina, OH, 44256, United States","Medina, OH, 44256, United States",https://www.wheelhousecle.com,supply@wheelhousecle.com?subject=Mayco Inquiry,440-333-2686,Distributor,Region inferred from the two-letter code in the listed address.,https://www.maycocolors.com/distributors
