country,name,address,source_address,website_as_listed,phone_as_listed,type,address_note
Greece,Eurokeramiki P.C.,"Anatolikis Thrakis 4, 57009 Kalochori, Thessaloniki, Greece","Anatolikis Thrakis 4, Kalochori , Thessaloniki 57009",http://www.eurokeramiki.gr/,697-679-0114,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Greece,Ramfou K & V.G.P.,"Patera Simona 5, 141 23 Lykovrysi, Greece","Patera Simona 5, Likovrisi , Greece 141 23",https://www.ramfos.gr/,+30 21 0283 1135,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Hungary,Budapest Keramia,"Fadrusz utca 2, 1194 Budapest, Hungary","1194 Budapest, Fadrusz u.2., Hungary",https://bpkeramia.hu,+36 1358 1410,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Italy,C & C Unipersonale,"Via Pana 34, 48018 Faenza, Italy","Via Pana 34, Faenza, Italy 48018",https://www.ceramicolours.it/,905-464-6936,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Italy,Cibas Sas Di Poli Fabio & C.,"Strada Marchesane 207, 36061 Bassano del Grappa (VI), Italy","Strada Marchesane, 207, Bassano del Grappa (VI), Italy 36061",https://www.e-cibas.com/,+39 0424 500207,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Lithuania,Meno Mūza,"Dysnos g. 4, LT-01135 Vilnius, Lithuania","Dysnos g. 4, Vilnius, Lithuania LT-01135",http://www.menomuza.lt/,3-705-212-3458,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Lithuania,Uab Suvena,"Beržų g. 4, LT-36237 Panevėžys, Lithuania","Beržų g. 4, Panevėžys, Lithuania LT-36237",http: www.keramikams.lt,370 45 433569,Distributor,Normalized and verified using the business contact page.
Netherlands,Pottenbakster,"Jellinghausstraat 10, 5048 AZ Tilburg, Netherlands","Jellinghausstraat 10, Tilburg, Netherlands 5048 AZ",https://www.keramiekenglazuur.nl/,163-850-7955,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Poland,1240.design,"Aleja Wyścigowa 14A, 02-681 Warsaw, Poland","Aleja wyścigowa 14A 02-681, Warsawa, Poland 02-681",https://1240.design/,4-860-595-3110,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Portugal,Ceramista Shop (Lisboa),"Rua Luís Augusto Palmeirim 5 AB, 1700-272 Lisbon, Portugal",R. Luís Augusto Palmeirim nº 5 AB 1700-272 Lisboa,https://ceramistashop.pt,912 649 773,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Portugal,Ceramista Shop (Oeiras),"Avenida Embaixador Assis Chateaubriand 49 AB, 2780-198 Oeiras, Portugal","Avenida Embaixador Assis Chateaubriand, 49 AB 2780-198 Oeiras",https://ceramistashop.pt,912 645 373,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Portugal,Ceramista Shop (Porto),"Rua da Alegria 322, 4000-041 Porto, Portugal","Rua da Alegria, 322 4000-041 Porto",https://ceramistashop.pt,912 648 973,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Slovakia,Pece,"Nábrežná 678/7, 962 23 Očová, Slovakia","PECE spol. s r.o. Nábrežná 678/7 96 223 Očová, Slovenská republika",https://www.pece.sk/,+421 45 5324392,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Spain,Inglet S.L.U.,"Avenida Cervera 21, 25300 Tàrrega (Lleida), Spain","Avenida Cervera 21 (Lielda), Terrega, Spain 25300",https://www.inglet.com/,3-497-331-2312,Distributor,Corrected city/province typos using the business contact page.
Spain,Javier Herranz S.L.,"Calle Ferrocarril 33, Polígono Industrial Alparrache II, 28600 Navalcarnero, Spain","C/ Ferrocarril, 33 Pol. Ind. Alparrache II 28600, NAVALCARNERO, Spain",https://www.javierherranz.com/,+913419077,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Spain,Taller Gingell,"Carrer de Salvà 69–71, 08004 Barcelona, Spain","Carrer de Salvà, 69 - 71, Barcelona, Spain 8004",https://tallergingell.com/,3-466-243-7670,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Sweden,Art4Fun,"Landskronavägen 783 B, 257 30 Rydebäck, Sweden","Hantverk- och keramikcenter i Sverige AB, Landskronavägen , Rydebäck, Sweden 783 B",https://www.art4fun.se/,,Distributor,Corrected using the business contact page.
Sweden,Helena Hodell Produktion,"Västervägen 9, 191 47 Sollentuna, Sweden","Västervägen 9 19149, Sollentuna, Sweden 191 47",https://helenahodell.se/,+46 70 683 77 93,Distributor,"Normalized address order, spelling, diacritics, and postcode formatting."
Switzerland,Lehmhuus AG,"Neuhofweg 50, 4147 Aesch, Switzerland","Neuhofweg 50, Aesch, Switzerland, Ch-4147",https://www.lehmhuus.ch/,(+41) 61-691-9927,Distributor,Normalized and corrected address formatting.
Switzerland,Michel Verkauf & Service,"Lerchenhalde 73, 8046 Zürich, Switzerland","Lerchenhalde 73, Zurich, Switzerland 8046",https://www.michel.ch/,(+41) 44-372-1616,Distributor,Normalized and corrected address formatting.
United Kingdom,Centrado Trading Ltd - Armagh,"33 Fairgreen Road, Markethill, County Armagh BT60 1PW, United Kingdom","33 Fairgreen Rd, Markethill, Armagh City, BT60 1PW",http://www.centrado.co,028 3760 0700,Distributor,Normalized and corrected address formatting.
United Kingdom,Centrado Trading Ltd - Cambridgeshire,"Centrado House, Willow Road, The Lakes Business Park, Fenstanton, Cambridgeshire PE28 9RB, United Kingdom","Centrado House Willow Road The Lakes Business Park, Fenstanton, Cambridgeshire PE28 9RB",http://www.centrado.co,01480 445 480,Distributor,Normalized and corrected address formatting.
United Kingdom,Hot Clay Ltd,"3 Havyat Park, Havyat Road, Wrington, Bristol BS40 5PA, United Kingdom","3 Havyat Park Havyat Road, Wrington, United Kingdom BS40 5PA",https://www.hot-clay.com/,+44 (0)1934 863040,Distributor,Normalized and corrected address formatting.
United Kingdom,Potclays Limited,"Brickkiln Lane, Etruria Road, Stoke-on-Trent ST4 6JW, United Kingdom","Etruria Rd, Stoke-on-Trent, United Kingdom ST4 6JW",https://www.potclays.co.uk/,+44 1782 219816,Distributor,Normalized and corrected address formatting.
United Kingdom,Potterycrafts,"Campbell Road, Stoke-on-Trent, Staffordshire ST4 4ET, United Kingdom","Campbell Road, Stoke-on-Trent Staffordshire, United Kingdom ST4 4ET",https://www.potterycrafts.co.uk/,078-274-5000,Distributor,Normalized and corrected address formatting.
United Kingdom,Salescape Limited,"7 Brookside Centre, Sumpters Way, Temple Farm Industrial Estate, Southend-on-Sea SS2 5RR, United Kingdom","7 Brookside Centre, Sumpters Way, Temple Farm Industrial Estate, Southend-On-Sea, SS2 5RR",https://salescapeartsupply.com/,+44 7791 905006,Distributor,Normalized and corrected address formatting.
United Kingdom,Scarva Pottery Supplies,"Unit 20, Scarva Road Industrial Estate, Scarva Road, Banbridge BT32 3QD, United Kingdom","Unit 20 Scarva Rd Industrial Estate, Scarva Rd, Banbridge, United Kingdom BT32 3QD",https://www.scarva.com/,+44 28 4066 9699,Distributor,Normalized and corrected address formatting.
