country,name,address,source_address,website_or_note_as_listed,email_as_listed,phone_as_listed,type,address_note
France,CERADEL Paris,"51 rue de Presles, Lot 3, 93300 Aubervilliers, France","51, Rue Presles Lot N°3 93300 Aubervilliers 01 48 11 11 11",www.ceradel.fr,,01 48 11 11 11,Distributor,Corrected address spelling/structure.
France,CERADEL Saint-Amand,"Hameau des Perchers, Les Terres de la Puisaye 58310 Saint-Amand-en-Puisaye, France","Hameau des Perchers, Les Terres de la Puisaye 58310 Saint-Amand-en-Puisaye 03 86 39 66 57",www.ceradel.fr,,03 86 39 66 57,Distributor,Removed phone number from address and added country.
France,CERADEL Toulouse,"22-24 bd de Thibaud BP 18472 31084 Toulouse, France",22-24 bd de Thibaud BP 18472 31084 Toulouse 05 61 43 82 40,www.ceradel.fr,,05 61 43 82 40,Distributor,Removed phone number from address and added country.
France,CERADEL Vallauris,"ZI des Trois Moulins, 370 rue des Cistes, 06600 Antibes, France",ZI des 3 moulins 370 rue des Cistes 06600 Antibes 04 93 64 00 46,www.ceradel.fr,,04 93 64 00 46,Distributor,Corrected address spelling/structure.
France,CERAM DECOR 25,"Rue de Terre Rouge, ZA de Terre Rouge, Bâtiment 9, 25220 Roche-lez-Beaupré, France","Rue de terre rouge ZA de terre rouge, bâtiment 9 25220 Roche Lez Beaupré 03 81 55 57 79",www.ceram-decor.fr,,03 81 55 57 79,Distributor,Corrected address spelling/structure.
France,CERAM DECOR 59,"905 avenue des Nations Unies, 59270 Bailleul, France",Poterie du Vieux Bac 905 avenue des Nations Unies 59270 Bailleul 03 28 49 92 62,,,03 28 49 92 62,Distributor,Corrected address spelling/structure.
France,CERAM DECOR 69,"58 rue des Sources, Bâtiment B, 69230 Saint-Genis-Laval, France",58 rue des Sources Bâtiment B 69230 Saint Genis Laval 04 72 66 90 24,www.ceram-decor.fr,,04 72 66 90 24,Distributor,Corrected address spelling/structure.
France,CERAM DECOR 81,"660 route de Montastruc, 81500 Saint-Agnan, France",660 Route de Montastruc 81500 Saint Agnan 05 61 84 26 51,www.ceram-decor.fr,,05 61 84 26 51,Distributor,Corrected address spelling/structure.
France,CERAM DECOR Sud,"178 route de Besse, ZA des 4 Chemins, 83340 Flassans-sur-Issole, France",178 Route de Besse ZA Des 4 Chemins 83340 Flassans-Sur-Issole 04 22 54 26 07,,,04 22 54 26 07,Distributor,Corrected address spelling/structure.
France,CERAQUITAINE DISTRIBUTION,"Avenue Mar Leclerc 24410 Saint Aulaye, France",Avenue Mar Leclerc 24410 Saint Aulaye,,,,Distributor,Removed phone number from address and added country.
France,CERATERRE DISTRIBUTION 64,"79 Avenue Paul Gelos 64990 Mouguerre, France",79 Avenue Paul Gelos 64990 Mouguerre 05 59 15 73 29,,,05 59 15 73 29,Distributor,Removed phone number from address and added country.
France,CIGALE et FOURMI,"2 rue Nicolas Appert 59260 Lezennes, France",2 rue Nicolas Appert 59260 Lezennes 03.59.82.42.65,www.cigaleetfourmi.fr,,03.59.82.42.65,Distributor,Removed phone number from address and added country.
France,COMO CÉRAMIQUE,"717 Rue du Verger 44150 Ancenis, France",717 Rue du Verger 44150 Ancenis,www.como-ceramique.com,,,Distributor,Removed phone number from address and added country.
France,"Eskiss, la Maison des Beaux-Arts",183 Bd De La Pointes Des Négres 97200 Fort-de-France,183 Bd De La Pointes Des Négres 97200 Fort-de-France +596 63 25 94,www.eskiss972.com,,+596 63 25 94,Distributor,Removed phone number from address and added country.
France,LES COUSINS,"160, rue des 4 Termes - ZI Les Paluds 13782 Aubagne, France","160, rue des 4 Termes - ZI Les Paluds 13782 Aubagne 04 42 82 26 26",www.lescousins.fr,,04 42 82 26 26,Distributor,Removed phone number from address and added country.
France,LES GRÈS D'UZÈS,"Chemin de l'Ancienne Gare 30700 Uzès, France",Chemin de l'Ancienne Gare 30700 Uzès 04.66.03.16.15,www.les-gres-d-uzes.fr,,04.66.03.16.15,Distributor,Removed phone number from address and added country.
France,PETER LAVEM,"31 rue Gay Lussac Zone Industrielle 94430 Chennevières-sur-Marne, France",31 rue Gay Lussac Zone Industrielle 94430 Chennevières-sur-Marne 01 49 62 08 21,www.peterlavem.fr,,01 49 62 08 21,Distributor,Removed phone number from address and added country.
France,SOLUTIONS CERAMIQUES,"7 rue des Cades, 34680 Saint-Georges-d’Orques, France",7 rue des Cades 34680 Saint Georges d'Orques 04 67 69 45 25,www.solutions-ceramiques.com,,04 67 69 45 25,Distributor,Corrected address spelling/structure.
Germany,ANDREA WOLBRING,"Gutenbergstraße 9 85646 Anzing, Germany",Gutenbergstraße 9 85646 Anzing 08106 - 3 39 97,www.keramikbedarf-online.de,,08106 - 3 39 97,Distributor,Removed phone number from address and added country.
Germany,BSZ Keramikbedarf,"Manderscheidtstr. 90 45141 Essen, Germany",Manderscheidtstr. 90 45141 Essen 0201-2 99 66,www.bsz-keramikbedarf.de,,0201-2 99 66,Distributor,Removed phone number from address and added country.
Germany,BÖRKEY KERATECH,"Paulsborner Straße 10 10709 Berlin-Wilmersdorf, Germany",Paulsborner Straße 10 10709 Berlin-Wilmersdorf +49 (0)30 891602,www.boerkey-keramik,,+49 (0)30 891602,Distributor,Removed phone number from address and added country.
Germany,CERAMICA Ton und Töpferbedarf,"Gottlieb-Daimler-Straße 26 71106 Magstadt, Germany",Gottlieb-Daimler-Straße 26 71106 Magstadt 07159 - 94 77 0,www.ceramicashop.de,,07159 - 94 77 0,Distributor,Removed phone number from address and added country.
Germany,HANS WOLBRING,"Rudolf-Diesel-Straße 15-17 (Gewerbegebiet) 56203 Höhr-Grenzhausen, Germany",Rudolf-Diesel-Straße 15-17 (Gewerbegebiet) 56203 Höhr-Grenzhausen 0 26 24 / 20 30,www.keramikbedarf.de,,0 26 24 / 20 30,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Aachen,"Neuhausstraße 4 52078 Aachen, Germany",Neuhausstraße 4 52078 Aachen 0241-9209209,www.keramik-kraft.de,,0241-9209209,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Chiemgau,"Heutauer Str. 15 83313 Siegsdorf, Germany",Heutauer Str. 15 83313 Siegsdorf 08662-9899,www.keramik-kraft.de,,08662-9899,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Frankfurt,"Schießstraße 65, 63486 Bruchköbel, Germany",SchießStr. 65 63486 Bruchköbel 06181-73790,www.keramik-kraft.de,,06181-73790,Distributor,Corrected address spelling/structure.
Germany,KERAMIK-KRAFT Hamburg,"Moorburger Elbdeich 263 21079 Hamburg, Germany",Moorburger Elbdeich 263 21079 Hamburg 040-7017222,www.keramik-kraft.de,,040-7017222,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Hannover,"Im Moorbusche 10 38162 Cremlingen, Germany",Im Moorbusche 10 38162 Cremlingen 05306-932 288,http://keramik-kraft.de/,,05306-932 288,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Kassel-Göttingen,"Bahnhofstr. 3 37181 Hardegsen, Germany",Bahnhofstr. 3 37181 Hardegsen 05505-2676,www.keramik-kraft.de,,05505-2676,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Münster,"Rudolf-Diesel-Str. 57 48157 Münster, Germany",Rudolf-Diesel-Str. 57 48157 Münster 0251-65889,www.keramik-kraft.de,,0251-65889,Distributor,Removed phone number from address and added country.
Germany,KERAMIK-KRAFT Nürnberg,"Industriestraße 28, 91227 Diepersdorf bei Nürnberg, Germany",Industriestr. 28 91227 Diepersdorf B. Nürnberg 09120-18460,www.keramik-kraft.de,,09120-18460,Distributor,Corrected address spelling/structure.
Germany,KERAMIKBEDARF ZINSER,"Breitenweg 17 B 67354 Römerberg, Germany",Breitenweg 17 B 67354 Römerberg 0179 / 1302 818,www.keramikbedarf-zinser.de,,0179 / 1302 818,Distributor,Removed phone number from address and added country.
Germany,KERAMIKBEDARF ZINSER,"Schenkelstück 4 67308 Zellertal-Harxheim, Germany",Schenkelstück 4 67308 Zellertal-Harxheim 06355 / 96 986,www.keramikbedarf-zinser.de,,06355 / 96 986,Distributor,Removed phone number from address and added country.
Germany,RANTZAUER TÖPFERBEDARF,"Rantzau 18 25355 Barmstedt, Germany",Rantzau 18 25355 Barmstedt 041 23/29 83,www.toepferspass.de,,041 23/29 83,Distributor,Removed phone number from address and added country.
Germany,SIBELCO DEUTSCHLAND,"Sälzerstraße 20 56235 Ransbach-Baumbach, Germany",Sälzerstraße 20 56235 Ransbach-Baumbach +49 2623 83-0,www.sibelco.com,,+49 2623 83-0,Distributor,Removed phone number from address and added country.
Greece,EUROKERAMIKI P.C.,"Anatolikis Thrakis 4, 57009 Kalochori, Greece",Anatolikis Thrakis 4 57009 Kalochori 2310752950,www.eurokeramiki.gr,,2310752950,Distributor,Corrected address spelling/structure.
Greece,RAMFOS YLIKOKERAMIKI,"Patera Simona 5, 141 23 Lykovrysi, Greece",Patera Simona 5 14123 Likovrisi 210 2841184 - 21,www.ramfos.gr,,210 2841184 - 21,Distributor,Corrected address spelling/structure.
Hungary,BUDAPEST KERAMIA,"Fadrusz utca 2, 1194 Budapest, Hungary",Fadrusz str. 2 1194 Budapest + 36 1 358 14 10,www.bpkeramia.hu,,+ 36 1 358 14 10,Distributor,Corrected address spelling/structure.
Italy,CIBAS IMPASTI,"Strada Marchesane, 207 36061 Bassano del Grappa, VI, Italy","Strada Marchesane, 207 36061 Bassano del Grappa, VI 0424 500207",www.cibasimpasti.com,,0424 500207,Distributor,Removed phone number from address and added country.
Italy,COLOROBBIA,"Via A. Gramsci, 14 50056 Montelupo Fiorentino, FI, Italy","Via A. Gramsci, 14 50056 Montelupo Fiorentino, FI +39 0571 70.81",www.colorobbiaspa.com,,+39 0571 70.81,Distributor,Removed phone number from address and added country.
Italy,HOBBYLAND,"Via Francesco Pietro Neglia, 3 20025 Legnano, Italy","Via Francesco Pietro Neglia, 3 20025 Legnano +390331481115",https://www.hobbyland.eu/,,+390331481115,Distributor,Removed phone number from address and added country.
Italy,MONDO CERAMICA,"Via Circonvallazione Nord, 2A 06053 Deruta, PG, Italy","Via Circonvallazione Nord, 2A 06053 Deruta, PG +390759711617",www.mondoceramica.net,,+390759711617,Distributor,Removed phone number from address and added country.
Latvia,SIA KERAMSERVISS,"Tauriņi, Ādaži, Ādažu novads, LV-2164, Latvia","Tauriņi, Ādaži, Ādažu novads LV-2164 Latvija 67997589",24.329596776473977,,67997589,Distributor,Corrected address spelling/structure.
Lithuania,SUVENA,"Beržų g. 4, LT-36237 Panevėžys, Lithuania",Beržų g. 4 36237 Panevėžys +370 45 433569,www.keramikams.lt,,+370 45 433569,Distributor,Corrected address spelling/structure.
Malta,ART ACADEMY,"131, Constitution Street MST 9055 Mosta, Malta","131, Constitution Street MST 9055 Mosta +356 21433821",https://artacademydirect.com/,,+356 21433821,Distributor,Removed phone number from address and added country.
Malta,ART ACADEMY,"88, Triq Matteolo Saliba ZRQ 1088 Zurrieq, Malta","88, Triq Matteolo Saliba ZRQ 1088 Zurrieq +356 21433821",https://artacademydirect.com/,,+356 21433821,Distributor,Removed phone number from address and added country.
Netherlands,CREAVISIE,"Dalweg 7-B 9231 HW Surhuisterveen, Netherlands",Dalweg 7-B 9231 HW Surhuisterveen,,,,Distributor,Removed phone number from address and added country.
Netherlands,KERAMIKOS,"Conradweg 19 2031 CM Haarlem, Netherlands",Conradweg 19 2031 CM Haarlem 0031-23-5424416,www.keramikos.nl,,0031-23-5424416,Distributor,Removed phone number from address and added country.
Poland,CERAMIQ PL AGNIESZKA BARNAT,"Czyżewska 5, 02-908 Warsaw, Poland",Czyżewska 5 02-908 Varsovia + 48 222 501 777,www.ceramiq.pl,,+ 48 222 501 777,Distributor,Corrected address spelling/structure.
Portugal,ANTONINO MARQUES FIALHO BEJA,"Rua da Aula, 7, San Pedro Corval 7200-127 Reguengos de Monsaraz, Portugal","Rua da Aula, 7, San Pedro Corval 7200-127 Reguengos de Monsaraz +351 966038523",,,+351 966038523,Distributor,Removed phone number from address and added country.
Portugal,CASA VIANA,"Praceta Nossa Senhora da Natividade, 6 CV 2725-402 Algueirão - Mem Martins, Portugal","Praceta Nossa Senhora da Natividade, 6 CV 2725-402 Algueirão - Mem Martins +351 21 9616793",www.casaviana.net/,,+351 21 9616793,Distributor,Removed phone number from address and added country.
Portugal,CERAMISTA SHOP - LISBOA,"Rua Luís Augusto Palmeirim 5, 1700-272 Lisbon, Portugal","Rua Luís Augusto Palmerim, 5 1700-272 Lisboa, PT-11 +351 912649773",www.ceramistashop.com,,+351 912649773,Distributor,Corrected address spelling/structure.
Portugal,CERAMISTA SHOP - OEIRAS,"Avenida Embaixador Assis Chateaubriand 49B, 2780-198 Oeiras, Portugal","Av. Embaixador Assis Chateaubriand, 49 b 2780-198 Oeiras, PT-11 +351 912645373",www.ceramistashop.com,,+351 912645373,Distributor,Corrected address spelling/structure.
Portugal,CERAMISTA SHOP - PORTO,"Rua da Alegria 322, 4000-035 Porto, Portugal","Rua da Alegria, 322 4000-035 Porto, PT-13 +351 912648973",www.ceramistashop.com,,+351 912648973,Distributor,Corrected address spelling/structure.
Portugal,LOJA MESTRE BRÁS,"Rua Principal 79, Andrinos, 2410-014 Leiria, Portugal","Rua Principal, nr. 79 - Andrinos 2410-014 Leiria, PT-10 +351 244 872 153",www.mestrebras.pt,,+351 244 872 153,Distributor,Corrected address spelling/structure.
Portugal,QUADRIMÓVEL Comércio e Indústria de Quadros,"Avenida das Indústrias, Lote H - Colaride 2735-213 Agualva-Cacém, Portugal","Avenida das Indústrias, Lote H - Colaride 2735-213 Agualva-Cacém +351 214314830",www.quadrimovel.com,,+351 214314830,Distributor,Removed phone number from address and added country.
Portugal,R2W Equipamentos e Matérias Primas para Cerâmica,"Rua de Fernandes Tomás, 63 4000-214 Porto, Portugal","Rua de Fernandes Tomás, 63 4000-214 Porto 22 539 04 29",www.r2w-ceramica.pt,,22 539 04 29,Distributor,Removed phone number from address and added country.
Romania,BARRO LAB,"Calea Dudești 140, 031083 Bucharest, Romania",Calea Dudesti 140 031083 Bucharest +40 753 255 313,www.barro.ro,,+40 753 255 313,Distributor,Corrected address spelling/structure.
Slovenia,KERATERM,"Šiškovo naselje 9 SI-4000 Kranj, Slovenia",Šiškovo naselje 9 SI-4000 Kranj 04 231 77 00,www.keraterm.si,,04 231 77 00,Distributor,Removed phone number from address and added country.
Spain,ARKAITZ KERAMIKA,"Kaxeta, s/n (Bº Toko Alde) 20170 Usurbil, ES-SS, Spain","Kaxeta, s/n (Bº Toko Alde) 20170 Usurbil, ES-SS 943 360 203",www.vicentiz.com,,943 360 203,Distributor,Removed phone number from address and added country.
Spain,ARTBENDIX,"Gremio Herreros, 50 07009 Palma de Mallorca, ES-PM, Spain","Gremio Herreros, 50 07009 Palma de Mallorca, ES-PM 971 430 143",bendix.net/online/es/artbendix,,971 430 143,Distributor,Removed phone number from address and added country.
Spain,ARTE Y CERAMICA DE GALICIA,"Uruguay, 6 36201 Vigo, ES-PO, Spain","Uruguay, 6 36201 Vigo, ES-PO 986 113 937",www.arteyceramica.es,,986 113 937,Distributor,Removed phone number from address and added country.
Spain,BRICOLAJE AZUAJE,"Churruca, 45 35010 Las Palmas de Gran Canaria, ES-GC, Spain","Churruca, 45 35010 Las Palmas de Gran Canaria, ES-GC 928 493 005",www.bricolajeazuaje.es,,928 493 005,Distributor,Removed phone number from address and added country.
Spain,CERAMICA ROQUE,"Av. de Elda, s/n 03698 Agost, ES-A, Spain","Av. de Elda, s/n 03698 Agost, ES-A 965 691 541",www.ceramicaroque.com,,965 691 541,Distributor,Removed phone number from address and added country.
Spain,CRISTALERA IBERICA,"Carretera Madrid–Toledo, km 63.4, 45280 Olías del Rey, Spain","Ctra. Madrid Toledo, Km 63, 400 45280 Olías del Rey, ES-TO 925 94 04 21",www.cristaleraibericanova.com,,925 94 04 21,Distributor,Corrected address spelling/structure.
Spain,CRISTALERA IBÉRICA,"Ctra. Calera y Chozas, 36 45600 Talavera de la Reina, ES-TO, Spain","Ctra. Calera y Chozas, 36 45600 Talavera de la Reina, ES-TO 925 802 155",www.cristaleraiberica.com,,925 802 155,Distributor,Removed phone number from address and added country.
Spain,DECORACIÓN Y CERÁMICA ANGLADA,"Pol. Pignatelli - Nave 50 50410 Cuarte de Huerva, ES-Z, Spain","Pol. Pignatelli - Nave 50 50410 Cuarte de Huerva, ES-Z 976 503 716",www.vicentiz.com,,976 503 716,Distributor,Removed phone number from address and added country.
Spain,DISTRIBUCIONES LANZAROTE,"Argentina, 35 35500 Arrecife, ES-GC, Spain","Argentina, 35 35500 Arrecife, ES-GC 928815868",,,928815868,Distributor,Removed phone number from address and added country.
Spain,ESMALTE Y BARRO,"Pol. Ind. El Manchón - Tarifa, 46 41940 Tomares, ES-SE, Spain","Pol. Ind. El Manchón - Tarifa, 46 41940 Tomares, ES-SE 954 155 228",www.esmalteybarro.com,,954 155 228,Distributor,Removed phone number from address and added country.
Spain,ESMALTES Y COLORANTES DE LA RAMBLA,"Calle Redonda, 76 14540 La Rambla, ES-CO, Spain","Calle Redonda, 76 14540 La Rambla, ES-CO 957 68 42 14",www.esmaltycolor.com,,957 68 42 14,Distributor,Removed phone number from address and added country.
Spain,GAIZKA UGARTE GANCEDO,"José Lejarreta, 47 01003 Vitoria, ES-VI, Spain","José Lejarreta, 47 01003 Vitoria, ES-VI 747496561",,gaizkaugancedo@gmail.com,747496561,Distributor,Removed phone number from address and added country.
Spain,IGNACIO GUILLEN,"Av. Muñoz Grande, 57 06175 Salvatierra de los Barros, ES-BA, Spain","Av. Muñoz Grande, 57 06175 Salvatierra de los Barros, ES-BA 924 698 048",,,924 698 048,Distributor,Removed phone number from address and added country.
Spain,J.L.VICENTIZ SUMINISTROS CERÁMICOS,"Bº Ugarte, s/n - Pabellón 1 - Nave 10 48110 Gatika, ES-BI, Spain","Bº Ugarte, s/n - Pabellón 1 - Nave 10 48110 Gatika, ES-BI 946 156 599",www.vicentiz.com,,946 156 599,Distributor,Removed phone number from address and added country.
Spain,KADAR,"Ilustre Fregona - Prolongación 96 47155 Santovenia de Pisuerga, ES-VA, Spain","Ilustre Fregona - Prolongación 96 47155 Santovenia de Pisuerga, ES-VA 983 400 713",www.kadarceramica.com,,983 400 713,Distributor,Removed phone number from address and added country.
Spain,LA TIENDA DEL ALFARERO JOSÉ,"Calvario, 28 14540 La Rambla, ES-CO, Spain","Calvario, 28 14540 La Rambla, ES-CO 957 682 661",,,957 682 661,Distributor,Removed phone number from address and added country.
Spain,MARPHIL CENTRO,"Bretón de los Herreros 5 28003 Madrid, ES-M, Spain","Bretón de los Herreros 5 28003 Madrid, ES-M 913 682 514",www.marphil.com,,913 682 514,Distributor,Removed phone number from address and added country.
Spain,MARPHIL CERAMICA,"Gualda, 23 28022 Madrid, ES-M, Spain","Gualda, 23 28022 Madrid, ES-M 913676740",,,913676740,Distributor,Removed phone number from address and added country.
Spain,MARTINEZ Y TRINI,"Av. Alicante, 137 bajo 30007 Zarandona, ES-MU, Spain","Av. Alicante, 137 bajo 30007 Zarandona, ES-MU 868 044 329",www.martinezytrini.es/,,868 044 329,Distributor,Removed phone number from address and added country.
Spain,PARACERAMICA,"Calle Mesta 20, 41900 Camas, Spain","C. Mesta, 20 41900 Camas, ES-SE 678219269",www.paraceramica.com,info@paraceramica.com,678219269,Distributor,Corrected address spelling/structure.
Spain,PRODESCO,"Aviación, 44 46949 Manises, ES-V, Spain","Aviación, 44 46949 Manises, ES-V 961 545 588",www.prodesco.es,,961 545 588,Distributor,Removed phone number from address and added country.
Spain,SANTIAGO PIDAL,"Duque de Aveiro, 25 29140 Churriana, ES-MA, Spain","Duque de Aveiro, 25 29140 Churriana, ES-MA 952 435 168",www.santiagopidal.es,,952 435 168,Distributor,Removed phone number from address and added country.
Spain,SIO-2 STORE Barcelona,"Peu de la Creu, 23 08001 Barcelona, ES-B, Spain","Peu de la Creu, 23 08001 Barcelona, ES-B 934 426 522",www.sio-2.com,,934 426 522,Distributor,Removed phone number from address and added country.
Spain,SIO-2 STORE Esparreguera,"Polígono Industrial L'Olana s/n 08292 Esparreguera, ES-B, Spain","Polígono Industrial L'Olana s/n 08292 Esparreguera, ES-B 93 779 51 29",www.sio-2.com,,93 779 51 29,Distributor,Removed phone number from address and added country.
Spain,SUMINISTROS ANPER,"Pol. Ind. Cova Solera, C/ Dublin 08191 Rubí, ES-B, Spain","Pol. Ind. Cova Solera, C/ Dublin 08191 Rubí, ES-B 936 974 048",www.anper.net,,936 974 048,Distributor,Removed phone number from address and added country.
Spain,SUMINISTROS ANPER - ARGILES COLADES,"Av. de Puntuï, 33 (Fabrica Trayter) Pol. Ind. Rissec Sud 17121 Corçà, ES-GI, Spain","Av. de Puntuï, 33 (Fabrica Trayter) Pol. Ind. Rissec Sud 17121 Corçà, ES-GI 972 630 102",www.anper.net,,972 630 102,Distributor,Removed phone number from address and added country.
Spain,SUMINISTROS ANPER - Mónica Lloberas,"Sepúlveda, 19 08015 Barcelona, ES-B, Spain","Sepúlveda, 19 08015 Barcelona, ES-B 936 974 048",www.anper.net,,936 974 048,Distributor,Removed phone number from address and added country.
Spain,SUMINISTROS CERÁMICOS ALBERTO DIOS VIÉITEZ,"Monasterio de Urdax, 17, 8º-B 31011 Pamplona, ES-NA, Spain","Monasterio de Urdax, 17, 8º-B 31011 Pamplona, ES-NA 948 252 541",,,948 252 541,Distributor,Removed phone number from address and added country.
Spain,SUMINISTROS CERÁMICOS EUSEBIO,"Tomás Centeno Polígono La Paz - Nave 4 18200 Maracena, ES-GR, Spain","Tomás Centeno Polígono La Paz - Nave 4 18200 Maracena, ES-GR 958 415 711",www.suministrosceramicoseusebio.com,,958 415 711,Distributor,Removed phone number from address and added country.
Sweden,CEBEX KERAMIKEXPERTERNA,"Erlandsrovägen 3B, 218 45 Vintrie, Sweden",Erlandsrovägen 3B 218 45 Vintrie +46 40-671 77 60,www.cebex.se/,,+46 40-671 77 60,Distributor,Corrected address spelling/structure.
Switzerland,DANILO GÜLLER,"Centro 2000, 6595 Riazzino, Switzerland",Centro 2000 6595 Riazzino +41 91 730 93 33,www.danilogueller.ch,,+41 91 730 93 33,Distributor,Corrected address spelling/structure.
Switzerland,LES ARGILES DU MOULIN,"Les Charrières, 1445 Vuiteboeuf, Switzerland",Les Charrières 1445 Vuiteboeuf +41 24.459.18.30,www.casparceramique.ch,,+41 24.459.18.30,Distributor,Corrected address spelling/structure.
United Kingdom,POTCLAYS,"Brickkiln Lane, Etruria Road, Stoke-on-Trent ST4 6JW, United Kingdom","Brickkiln Lane, Etruria Rd Stoke-on-Trent ST4 6JW +44(0)1782 21981",www.potclays.co.uk,,+44(0)1782 21981,Distributor,Corrected address spelling/structure.
United Kingdom,POTTERYCRAFTS Ltd,"Campbell Road, Stoke-on-Trent ST4 4ET, United Kingdom",Campbell Road Stoke-on-Trent ST4 4ET 01782 745000,potterycrafts.co.uk,,01782 745000,Distributor,Corrected address spelling/structure.
